Wall time,Step,Value
1634699239.2885811,10001,-223.504638671875
1634699284.3725572,20001,-199.22438049316406
1634699337.445003,30001,-166.68650817871094
1634699391.2319975,40001,-144.77923583984375
1634699443.9096658,50001,-123.03302001953125
1634699499.2231123,60001,-116.68146514892578
1634699556.3035674,70001,-110.45594024658203
1634699608.9414787,80001,-96.7044448852539
1634699662.418101,90001,-77.94804382324219
1634699718.3210258,100001,-62.14497375488281
1634699771.3779364,110001,-41.163917541503906
1634699826.5671468,120001,-31.72349739074707
1634699879.5545607,130001,-8.226156234741211
1634699936.569112,140001,-5.913322925567627
1634699987.8800666,150001,19.064022064208984
1634700038.5510008,160001,44.84778594970703
1634700091.1783044,170001,53.5345573425293
1634700140.4085271,180001,63.60911178588867
1634700190.4291487,190001,79.8261947631836
1634700240.8150184,200001,73.1884765625
1634700289.102855,210001,88.09200286865234
1634700335.3944323,220001,107.31658935546875
1634700382.9335136,230001,104.598876953125
1634700430.8562646,240001,94.14078521728516
1634700478.3668435,250001,93.84945678710938
1634700527.2008827,260001,113.96981048583984
1634700575.574792,270001,122.3610610961914
1634700624.1807883,280001,126.10630798339844
1634700671.7998352,290001,125.6099853515625
1634700718.8428593,300001,120.56340789794922
1634700768.2507727,310001,94.71685791015625
1634700816.2406106,320001,79.19071197509766
1634700865.2385726,330001,58.08946990966797
1634700916.849443,340001,47.33060836791992
1634700967.01122,350001,50.4122314453125
1634701016.2856379,360001,51.89670944213867
1634701065.4241238,370001,58.77274703979492
1634701114.0383148,380001,67.42697143554688
1634701167.545616,390001,77.67518615722656
1634701217.5736492,400001,100.27942657470703
1634701271.097419,410001,103.42704772949219
1634701320.6024222,420001,120.52362060546875
1634701372.5959742,430001,150.1890411376953
1634701423.182295,440001,147.04995727539062
1634701477.059899,450001,139.96014404296875
1634701527.1795766,460001,115.44761657714844
1634701572.7802365,470001,100.42163848876953
1634701615.213237,480001,93.7313232421875
1634701660.323498,490001,107.01599884033203
